,deaths,count,tested,percentage,deaths_per_million,count_per_million,deaths_7day,count_7day,tested_7day,percentage_7day,deaths_per_million_7day,count_per_million_7day,deaths_14day,count_14day,tested_14day,percentage_14day,deaths_per_million_14day,count_per_million_14day,population
region,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois
date,,,,,,,,,,,,,,,,,,,
2020-03-18,1.0,128.0,0.0,inf,0.07936507936507936,10.158730158730158,,,,,,,,,,,,,12600000
2020-03-19,2.0,134.0,0.0,inf,0.15873015873015872,10.634920634920634,,,,,,,,,,,,,12600000
2020-03-20,2.0,163.0,4286.0,0.03803079794680354,0.15873015873015872,12.936507936507937,,,,,,,,,,,,,12600000
2020-03-21,1.0,168.0,1961.0,0.08567057623661398,0.07936507936507936,13.333333333333334,,,,,,,,,,,,,12600000
2020-03-22,3.0,296.0,2127.0,0.13916314057357781,0.23809523809523808,23.49206349206349,,,,,,,,,,,,,12600000
2020-03-24,7.0,486.0,3111.0,0.1562198649951784,0.5555555555555556,38.57142857142857,,,,,,,,,,,,,12600000
2020-03-25,3.0,330.0,2724.0,0.1211453744493392,0.23809523809523808,26.19047619047619,2.7142857142857144,243.57142857142858,2029.857142857143,0.1199943697656415,0.21541950113378686,19.33106575963719,,,,,,,12600000
2020-03-26,7.0,673.0,2422.0,0.277869529314616,0.5555555555555556,53.41269841269841,3.5714285714285716,321.42857142857144,2375.8571428571427,0.13528951957188384,0.28344671201814065,25.510204081632654,,,,,,,12600000
2020-03-27,8.0,488.0,4911.0,0.0993687639991855,0.6349206349206349,38.73015873015873,4.428571428571429,372.0,3077.4285714285716,0.12088014111967318,0.35147392290249435,29.523809523809526,,,,,,,12600000
2020-03-28,13.0,465.0,3887.0,0.1196295343452534,1.0317460317460319,36.904761904761905,6.0,415.14285714285717,3020.4285714285716,0.13744501726339686,0.47619047619047616,32.94784580498867,,,,,,,12600000
2020-03-29,18.0,1105.0,2333.0,0.473639091298757,1.4285714285714286,87.6984126984127,8.428571428571429,549.0,3073.5714285714284,0.17861956774343482,0.6689342403628118,43.57142857142857,,,,,,,12600000
2020-03-30,7.0,460.0,2684.0,0.17138599105812222,0.5555555555555556,36.507936507936506,9.0,572.4285714285714,3153.1428571428573,0.18154222544400145,0.7142857142857143,45.430839002267575,,,,,,,12600000
2020-03-31,26.0,938.0,4779.0,0.19627537141661436,2.0634920634920637,74.44444444444444,11.714285714285714,637.0,3391.4285714285716,0.18782645324347091,0.929705215419501,50.55555555555556,,,,,,,12600000
2020-04-01,43.0,986.0,5159.0,0.1911223105252956,3.4126984126984126,78.25396825396825,17.428571428571427,730.7142857142857,3739.285714285714,0.19541547277936963,1.3832199546485258,57.99319727891156,10.071428571428571,487.14285714285717,2884.5714285714284,0.168878763866878,0.7993197278911565,38.66213151927438,12600000
2020-04-02,16.0,715.0,3272.0,0.21852078239608802,1.2698412698412698,56.74603174603175,18.714285714285715,736.7142857142857,3860.714285714286,0.1908233117483811,1.485260770975057,58.469387755102034,11.142857142857142,529.0714285714286,3118.285714285714,0.16966739967014843,0.8843537414965985,41.98979591836734,12600000
2020-04-03,53.0,1209.0,4392.0,0.27527322404371585,4.2063492063492065,95.95238095238095,25.142857142857142,839.7142857142857,3786.5714285714284,0.2217611106919188,1.9954648526077097,66.64399092970521,14.785714285714286,605.8571428571429,3432.0,0.17653180153180154,1.1734693877551021,48.08390022675737,12600000
2020-04-04,33.0,1453.0,5533.0,0.2626061810952467,2.619047619047619,115.31746031746032,28.0,980.8571428571429,4021.714285714286,0.24389030974708725,2.2222222222222223,77.84580498866214,17.0,698.0,3521.0714285714284,0.19823511512323766,1.3492063492063493,55.3968253968254,12600000
2020-04-05,31.0,899.0,5402.0,0.16641984450203628,2.4603174603174605,71.34920634920636,29.857142857142858,951.4285714285714,4460.142857142857,0.21331795906601328,2.369614512471655,75.51020408163265,19.142857142857142,750.2142857142857,3766.8571428571427,0.19916186286407767,1.5192743764172334,59.5408163265306,12600000
2020-04-06,33.0,1006.0,3959.0,0.2541045718615812,2.619047619047619,79.84126984126983,33.57142857142857,1029.4285714285713,4642.285714285715,0.22175036927621858,2.664399092970521,81.70068027210884,21.285714285714285,800.9285714285714,3897.714285714286,0.20548673215071103,1.6893424036281177,63.56575963718821,12600000
2020-04-07,73.0,1287.0,5790.0,0.22227979274611398,5.7936507936507935,102.14285714285714,40.285714285714285,1079.2857142857142,4786.714285714285,0.2254752738233802,3.197278911564626,85.65759637188208,26.0,858.1428571428571,4089.0714285714284,0.20986252554719023,2.0634920634920637,68.10657596371881,12600000
2020-04-08,82.0,1529.0,6334.0,0.24139564256394064,6.507936507936508,121.34920634920636,45.857142857142854,1156.857142857143,4954.571428571428,0.23349287815004902,3.6394557823129245,91.8140589569161,31.642857142857142,943.7857142857143,4346.928571428572,0.2171155331350543,2.5113378684807257,74.90362811791384,12600000
2020-04-09,66.0,1344.0,5791.0,0.23208426869279916,5.238095238095238,106.66666666666667,53.0,1246.7142857142858,5314.428571428572,0.2345904679981721,4.2063492063492065,98.94557823129253,35.857142857142854,991.7142857142857,4587.571428571428,0.2161741350854794,2.845804988662131,78.70748299319727,12600000
2020-04-10,68.0,1465.0,6670.0,0.21964017991004497,5.396825396825397,116.26984126984127,55.142857142857146,1283.2857142857142,5639.857142857143,0.22753869145621722,4.376417233560091,101.84807256235827,40.142857142857146,1061.5,4713.214285714285,0.22521785254224447,3.1859410430839006,84.24603174603175,12600000
